project,bug_id,folder,add_test_file,function_id,class_fqcn,file,method_sig_snippet,method_start,method_end,line,line_in_method,ci,mi,cb,mb,executed
Jacksondatabind,1,JacksonDatabind-1-buggy_ind2,add_test1.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,625,44,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,582,1,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,583,2,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,584,3,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,585,4,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,586,5,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,587,6,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,588,7,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,589,8,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,590,9,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,591,10,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,592,11,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,593,12,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,594,13,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,595,14,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,596,15,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,597,16,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,598,17,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,599,18,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,600,19,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,601,20,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,602,21,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,603,22,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,604,23,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,605,24,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,606,25,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,607,26,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,608,27,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,609,28,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,610,29,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,611,30,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,612,31,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,613,32,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,614,33,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,615,34,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,616,35,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,617,36,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,618,37,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,619,38,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,620,39,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,621,40,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,622,41,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,623,42,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,624,43,,,,,Not Compilable
Jacksondatabind,1,JacksonDatabind-1-buggy_ind3,add_test2.java,function_1,com.fasterxml.jackson.databind.ser.BeanPropertyWriter,com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java,"public void serializeAsColumn(Object bean, JsonGenerator jgen, SerializerProvider prov)",582,625,625,44,,,,,Not Compilable
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,28,1,,,,,
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,29,2,,,,,
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,30,3,2,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,31,4,3,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,32,5,3,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,33,6,3,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_1,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public AnyGetterWriter(BeanProperty property, AnnotatedMember accessor, MapSerializer serializer)",28,34,34,7,1,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,36,1,,,,,
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,37,2,,,,,
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,38,3,,,,,
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,39,4,5,0,0,0,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,40,5,2,0,1,1,True
Jacksondatabind,10,JacksonDatabind-10-buggy_ind1,add_test.java,function_2,com.fasterxml.jackson.databind.ser.AnyGetterWriter,com/fasterxml/jackson/databind/ser/AnyGetterWriter.java,"public void getAndSerialize(Object bean, JsonGenerator gen, SerializerProvider provider)",36,52,41,6,0,1,0,0,False
